NdcSearch,Ndc
A00338004931,00338004931
A68084068301,68084068301
A59762502501,59762502501
A36000000924,36000000924
A66993059402,66993059402
A00143927701,00143927701
A00904531360,00904531360
A00023218105,00023218105
A49999026728,49999026728
A50458055110,50458055110
A00071101441,00071101441
A00054007928,00054007928
A63739067210,63739067210
A00597004660,00597004660
A69452015020,69452015020
A00904670806,00904670806
A65162089374,65162089374
A57844052206,57844052206
A53436008401,53436008401
A55390029201,55390029201
A25021012850,25021012850
A00641613525,00641613525
A00548560400,00548560400
A63323061401,63323061401
A00944270007,00944270007
A00004035009,00004035009
A51079051520,51079051520
A66993048983,66993048983
A49281001350,49281001350
A51079078320,51079078320
A00703409401,00703409401
A61958190101,61958190101
A10019003574,10019003574
A00143178701,00143178701
A25021013720,25021013720
A63323031110,63323031110
A00006382310,00006382310
A00078069899,00078069899
A00135019502,00135019502
A63323030655,63323030655
A39822020501,39822020501
A42702010305,42702010305
A00074241612,00074241612
A57237004801,57237004801
A63323056984,63323056984
A16252060102,16252060102
A00338004804,00338004804
A00002714001,00002714001
A00409508216,00409508216
A00597003212,00597003212
A00781143901,00781143901
A51672208001,51672208001
A50383081016,50383081016
A23155029042,23155029042
A24208058564,24208058564
A00143959525,00143959525
A49281041688,49281041688
A70092106708,70092106708
A00168005646,00168005646
A00517490525,00517490525
A00054023525,00054023525
A00781149731,00781149731
A00121064610,00121064610
A00049011528,00049011528
A63323051610,63323051610
A10122032510,10122032510
A61314030410,61314030410
A00169368512,00169368512
A00143987201,00143987201
A24208029525,24208029525
A00904644061,00904644061
A50268033415,50268033415
A00074380511,00074380511
A00074141204,00074141204
A00182820289,00182820289
A00093417773,00093417773
A50383056510,50383056510
A61314004475,61314004475
A63459034804,63459034804
A25021022160,25021022160
A55111067902,55111067902
A00186037220,00186037220
A00378180777,00378180777
A67286081201,67286081201
A00093026292,00093026292
A50458059601,50458059601
A00044182310,00044182310
A51285075402,51285075402
A00591319301,00591319301
A50383074120,50383074120
A13533080020,13533080020
A00904782231,00904782231
A00186023003,00186023003
A00024279150,00024279150
A61553018352,61553018352
A00093102406,00093102406
A55045122403,55045122403
A54838000530,54838000530
A00185077130,00185077130
A61787006204,61787006204
A59011010020,59011010020
A00067399842,00067399842
A00703514501,00703514501
A00536105656,00536105656
A00054317763,00054317763
A63739026310,63739026310
A39506002260,39506002260
A51079052720,51079052720
A54643564901,54643564901
A00904667104,00904667104
A63739027201,63739027201
A64679001201,64679001201
A61553008348,61553008348
A63323006403,63323006403
A00168002738,00168002738
A57664027408,57664027408
A00054848616,00054848616
A00555061214,00555061214
A58980062570,58980062570
A63323030201,63323030201
A00904042806,00904042806
A43598030562,43598030562
A51079058620,51079058620
A50419005030,50419005030
A00009001201,00009001201
A00406055262,00406055262
A00904336561,00904336561
A25010020515,25010020515
A00093316501,00093316501
A51079093820,51079093820
A68382013814,68382013814
A00003224011,00003224011
A00641141035,00641141035
A00338107302,00338107302
A58406043504,58406043504
A00536016097,00536016097
A49281058905,49281058905
A61553011841,61553011841
A67386050155,67386050155
A00009752901,00009752901
A10019004603,10019004603
A00023599230,00023599230
A00517381025,00517381025
A51079088620,51079088620
A00409798361,00409798361
A00703951403,00703951403
A67457034210,67457034210
A48102000735,48102000735
A00591523901,00591523901
A68084039901,68084039901
A62175011937,62175011937
A00904627761,00904627761
A76329330101,76329330101
A00409117630,00409117630
A00173010856,00173010856
A00072810015,00072810015
A00904647861,00904647861
A00054011625,00054011625
A00056047492,00056047492
A25021018510,25021018510
A67877024201,67877024201
A00517101025,00517101025
A17478028810,17478028810
A50458064165,50458064165
A62756035664,62756035664
A25021018487,25021018487
A50474080503,50474080503
A67457021005,67457021005
A00069267041,00069267041
A00409509216,00409509216
A43547027609,43547027609
A00115821101,00115821101
A47781058468,47781058468
A49884010511,49884010511
A61958050101,61958050101
A00009023303,00009023303
A55150016830,55150016830
A00310020137,00310020137
A60793011601,60793011601
A65162035109,65162035109
A51079038520,51079038520
A00143998303,00143998303
A50383077517,50383077517
A08290326730,08290326730
A00051842530,00051842530
A55566504001,55566504001
A00093065701,00093065701
A50383068304,50383068304
A00409468823,00409468823
A66479052001,66479052001
A00009006412,00009006412
A00083005232,00083005232
A00904636061,00904636061
A63323096330,63323096330
A60505075204,60505075204
A00025152534,00025152534
A51079097220,51079097220
A00904664061,00904664061
A00078041520,00078041520
A68094050361,68094050361
A63323049289,63323049289
A00206886201,00206886201
A10370010103,10370010103
A00074568216,00074568216
A00069421030,00069421030
A42367054032,42367054032
A67457090210,67457090210
A50458058030,50458058030
A63323056883,63323056883
A10019003539,10019003539
A63323048227,63323048227
A64764008060,64764008060
A45802075930,45802075930
A13811068030,13811068030
A00093015506,00093015506
A60505700702,60505700702
A68084096601,68084096601
A60505040205,60505040205
A16729018301,16729018301
A49502090101,49502090101
A61748004416,61748004416
A51079073620,51079073620
A10019002804,10019002804
A49999064990,49999064990
A68084026901,68084026901
A00074382611,00074382611
A67386041151,67386041151
A68094000859,68094000859
A00078036545,00078036545
A00032192482,00032192482
A68382007901,68382007901
A68462033390,68462033390
A55390080901,55390080901
A63672105002,63672105002
A00904635261,00904635261
A00409909461,00409909461
A50474000263,50474000263
A00603023516,00603023516
A00409433249,00409433249
A00310030022,00310030022
A00008253303,00008253303
A00185434601,00185434601
A00003052711,00003052711
A00009001612,00009001612
A51672129802,51672129802
A00591319872,00591319872
A51079002720,51079002720
A00409793009,00409793009
A00065039602,00065039602
A67286005308,67286005308
A00087667217,00087667217
A60793011501,60793011501
A69918089910,69918089910
A00264751020,00264751020
A49452080001,49452080001
A64980013009,64980013009
A55150019410,55150019410
A00185012360,00185012360
A51079007320,51079007320
A50458092010,50458092010
A00173059500,00173059500
A00517090125,00517090125
A00074156410,00074156410
A00904549213,00904549213
A00406054034,00406054034
A59390006717,59390006717
A51079059820,51079059820
A51079021620,51079021620
A16729027730,16729027730
A00065066505,00065066505
A00074395646,00074395646
A44206053211,44206053211
A00006306901,00006306901
A24486060110,24486060110
A50458030101,50458030101
A00904579461,00904579461
A64764075030,64764075030
A00009000602,00009000602
A00430301015,00430301015
A58468466301,58468466301
A51079093520,51079093520
A00173013093,00173013093
A00904586061,00904586061
A00766004548,00766004548
A00187355410,00187355410
A54868410300,54868410300
A00009337502,00009337502
A64406000801,64406000801
A00591336901,00591336901
A00597002402,00597002402
A59762500802,59762500802
A11980077905,11980077905
A25208000203,25208000203
A00009045003,00009045003
A61570017261,61570017261
A00406206890,00406206890
A17478050101,17478050101
A00781210301,00781210301
A00548146900,00548146900
A68084024301,68084024301
A00024079375,00024079375
A51079088920,51079088920
A00009513601,00009513601
A00182116189,00182116189
A00173094955,00173094955
A00944049302,00944049302
A68084028801,68084028801
A51672203701,51672203701
A63323038910,63323038910
A00087076102,00087076102
A50458030201,50458030201
A00409707426,00409707426
A68084031901,68084031901
A00832030300,00832030300
A59762503101,59762503101
A63739057310,63739057310
A68180051201,68180051201
A17478020910,17478020910
A68180031906,68180031906
A24208091019,24208091019
A00008070101,00008070101
A00004025001,00004025001
A00409335601,00409335601
A44567023610,44567023610
A63739048610,63739048610
A52544047030,52544047030
A54162001715,54162001715
A49884010411,49884010411
A00378026101,00378026101
A00597018390,00597018390
A63323012820,63323012820
A60793010501,60793010501
A63739035010,63739035010
A00173017855,00173017855
A00093312301,00093312301
A00597018590,00597018590
A00037024130,00037024130
A00904630061,00904630061
A70121145407,70121145407
A00093721201,00093721201
A00378616001,00378616001
A51079069020,51079069020
A49884086902,49884086902
A00591564301,00591564301
A00172436310,00172436310
A55390005210,55390005210
A00074349201,00074349201
A63459054128,63459054128
A55390009110,55390009110
A66689089840,66689089840
A51079081420,51079081420
A00003362412,00003362412
A51079094708,51079094708
A54868255700,54868255700
A00517265025,00517265025
A60793020505,60793020505
A00064081015,00064081015
A00555099702,00555099702
A51079046020,51079046020
A00029607531,00029607531
A49884065001,49884065001
A30698014301,30698014301
A00093117201,00093117201
A00169750111,00169750111
A00456140530,00456140530
A50242013468,50242013468
A57902024901,57902024901
A68734071010,68734071010
A36000001101,36000001101
A00430075327,00430075327
A00182853489,00182853489
A63323040220,63323040220
A51079032120,51079032120
A60687016301,60687016301
A00173052000,00173052000
A63323056884,63323056884
A69918050105,69918050105
A60687021501,60687021501
A42023018910,42023018910
A00472153304,00472153304
A10019014501,10019014501
A42998020301,42998020301
A63739037610,63739037610
A00085173302,00085173302
A68382014014,68382014014
A63323056990,63323056990
A00065401303,00065401303
A00998020215,00998020215
A61553030472,61553030472
A59338077510,59338077510
A50111032301,50111032301
A00904630361,00904630361
A24208048510,24208048510
A00904637661,00904637661
A63323024120,63323024120
A00091334201,00091334201
A68115017430,68115017430
A00054001720,00054001720
A00406052710,00406052710
A00258368990,00258368990
A68084018301,68084018301
A63323061603,63323061603
A00037683015,00037683015
A63323087115,63323087115
A00168006060,00168006060
A00597035556,00597035556
A59676030401,59676030401
A60687029301,60687029301
A00904627108,00904627108
A00603358121,00603358121
A00517420125,00517420125
A17478010002,17478010002
A00338007704,00338007704
A00169183311,00169183311
A11845011831,11845011831
A00078051005,00078051005
A63323028620,63323028620
A17478020102,17478020102
A00574709012,00574709012
A00182845389,00182845389
A59762308001,59762308001
A00406905076,00406905076
A51079092920,51079092920
A00884044904,00884044904
A17478050305,17478050305
A00472075516,00472075516
A00078048535,00078048535
A00904292461,00904292461
A00338358048,00338358048
A00472040030,00472040030
A00904641961,00904641961
A50268031112,50268031112
A51991014417,51991014417
A00173044902,00173044902
A76329146905,76329146905
A00409792202,00409792202
A00338004803,00338004803
A25010021027,25010021027
A10019051002,10019051002
A67457035010,67457035010
A00143125001,00143125001
A16729004201,16729004201
A51079021020,51079021020
A00555101016,00555101016
A00054858224,00054858224
A60505252201,60505252201
A24208078055,24208078055
A00536478701,00536478701
A63323065820,63323065820
A61314022705,61314022705
