Category,original fluid,new fluid,original lable,new Label,Short,Unit,Normal Range
Blood_GAS,Blood,Arterial blood sample analysis - plasma,Base Excess,Base Excess,Base Excess,milliequivalents per liter (mEq/L),-2 to +2 mEq/L
Blood_GAS,Blood,Arterial blood sample analysis - whole,Alveolar-arterial Gradient,Alveolar-arterial Gradient,PAO2 – PaO2,Millimeters of mercury (mmHg),(Age in years / 4) + 4 mmHg
Chemistry,Ascites,Ascite Sample analysis - Whole,"Albumin, Ascites",Albumin,Albumin,grams per deciliter (g/dL),(plasma Albumin)−(Ascites Albumin) of ≥1.1 g/dL
Hematology,Blood,Peripheral Blood Sample analysis - Plasma,D-Dimer,D-Dimer,D-Dimer,micrograms per milliliter (ng/mL),< 500 ng/mL
Hematology,Blood,Peripheral Blood Sample analysis - White Blood Cells,Absolute Basophil Count,Absolute Basophil,Absolute Basophil,cells per microliter of blood (cells/μL),0 - 200 cells/µL
Hematology,Blood,Peripheral Blood Sample analysis - Whole,Absolute Eosinophil Count,Absolute Eosinophil,Absolute Eosinophil,cells per microliter of blood (cells/μL),0 - 500 cells/µL
Hematology,Ascites,Ascite Sample analysis - Whole,Mesothelial Cell,Mesothelial Cell,Mesothelial Cell,percentage,0 %
Hematology,Urine,urine sample (random) Substances Measurement,"Reducing Substances, Urine",Reducing Substances,Reducing Substances,percentage,0 %
Chemistry,Blood,Peripheral Blood Sample analysis - Plasma,VZV IgG Ab,Varicella-Zoster Virus (VZV) Immunoglobulin G (IgG) Antibody (Ab),VZV IgG Ab,international units per milliliter (IU/mL),0 and 100 IU/mL
Chemistry,Blood,Peripheral Blood Sample analysis - Plasma,VZV IgG Ab Value,Varicella-Zoster Virus (VZV) Immunoglobulin G (IgG) Antibody (Ab),VZV IgG Ab,international units per milliliter (IU/mL),0 and 100 IU/mL
Chemistry,Blood,Peripheral Blood Sample analysis - Plasma,Lyme G and M Value,Lyme Immunoglobulin G (IgG) and Immunoglobulin M (IgM) Value,Lyme G and M Value,arbitrary units (AU),0 AU
Hematology,Blood,Peripheral Blood Sample analysis - Plasma,Factor IX Inhibitor,Factor IX Inhibitor,Factor IX Inhibitor,Bethesda units per milliliter (BU/mL),0 BU/mL (no inhibitor detected)
Hematology,Blood,Peripheral Blood Sample analysis - Plasma,Factor VIII Inhibitor,Factor VIII Inhibitor,Factor VIII Inhibitor,Bethesda units per milliliter (BU/mL),0 BU/mL (no inhibitor detected)
Hematology,Blood,Peripheral Blood Sample analysis - Red Blood Cells,Howell-Jolly Bodies,Howell-Jolly Bodies,Howell-Jolly Bodies,cells per microliter of blood (cells/μL),0 cells/μL
Hematology,Cerebrospinal Fluid,Cerebrospinal Sample analysis - Whole,"RBC, CSF",Red Blood Cells (RBCs),RBCs,cells per microliter (cells/μL),0 cells/µL
Hematology,Blood,Peripheral Blood Sample analysis - Plasma,HIT-Ab Numerical Result,heparin-induced thrombocytopenia (HIT) Numerical Result,HIT-Ab Numerical,International units per milliliter (IU/mL),0 IU/mL
Hematology,Urine,urine sample (random) Urinalysis,Bilirubin,Bilirubin,Bilirubin,milligrams per deciliter (mg/dL),0 mg/dL
Chemistry,Blood,Peripheral Blood Sample analysis - Whole,Ethanol,Ethanol,Ethanol,milligrams per deciliter (mg/dL),0 mg/dL
Chemistry,Blood,Peripheral Blood Sample analysis - Whole,Ethylene Glycol,Ethylene Glycol,Ethylene Glycol,milligrams per deciliter (mg/dL),0 mg/dL
Hematology,Urine,urine sample (random) Microscopic Examination,Urine Fat Bodies,Fat Bodies,Fat Bodies,low power field (LPF) or high power field (HPF),0 per HPF
Hematology,Urine,urine sample (random) Microscopic Examination,Sperm,Sperm,Sperm,low power field (LPF) or high power field (HPF),0 sperm per HPF
Chemistry,Blood,Peripheral Blood Sample analysis - Whole,Lipase,Lipase,Lipase,units per liter (U/L),0 to 160 U/L
Chemistry,Urine,urine sample (random) Microscopic Examination,Blood,Blood,Blood,Absent/presence,0 to 2 RBCs per high power field (HPF)
Hematology,Urine,urine sample (random) Microscopic Examination,Blood,Blood,Blood,low power field (LPF) or high power field (HPF),0 to 2 RBCs per HPF
Chemistry,Blood,Peripheral Blood Sample analysis - Whole,"Creatine Kinase, MB Isoenzyme",Creatine Kinase-myocardial band (CK-MB),CK-MB,nanograms per milliliter (ng/mL),0 to 25 ng/mL
Chemistry,Blood,Peripheral Blood Sample analysis - Plasma,C4,Complement component 4 (C4),C4,milligrams per deciliter (mg/dL),0 to 40 mg/dL
Hematology,Urine,urine sample (random) Microscopic Examination,Broad Casts,Broad Casts,Broad Casts,low power field (LPF) or high power field (HPF),0 to a few per LPF
Hematology,Urine,urine sample (random) Microscopic Examination,Cellular Cast,Cellular Cast,Cellular Cast,low power field (LPF) or high power field (HPF),0 to a few per LPF
Hematology,Urine,urine sample (random) Microscopic Examination,Epithelial Cells,Epithelial Cells,Epithelial Cells,low power field (LPF) or high power field (HPF),0 to few cell per HPF
Hematology,Urine,urine sample (random) Microscopic Examination,Trichomonas,Trichomonas,Trichomonas,low power field (LPF) or high power field (HPF),0 Trichomonas per HPF
Hematology,Urine,urine sample (random) Microscopic Examination,Tyrosine Crystals,Tyrosine Crystals,Tyrosine Crystals,low power field (LPF) or high power field (HPF),0 tyrosine crystals per HPF
Hematology,Urine,urine sample (random) Microscopic Examination,Uric Acid Crystals,Uric Acid Crystals,Uric Acid Crystals,low power field (LPF) or high power field (HPF),0 uric acid crystals per HPF
Hematology,Urine,urine sample (random) Microscopic Examination,Waxy Casts,Waxy Casts,Waxy Casts,low power field (LPF) or high power field (HPF),0 waxy casts per LPF
Hematology,Urine,urine sample (random) Microscopic Examination,Yeast,Yeast,Yeast,low power field (LPF) or high power field (HPF),0 yeast cells per HPF
Hematology,Urine,urine sample (random) Microscopic Examination,Oval Fat Body,Oval Fat Body,Oval Fat Body,low power field (LPF) or high power field (HPF),0-1 per HPF
Hematology,Urine,urine sample (random) Microscopic Examination,Triple Phosphate Crystals,Triple Phosphate Crystals,Triple Phosphate Crystals,low power field (LPF) or high power field (HPF),0-1 triple phosphate crystals per HPF
Hematology,Urine,urine sample (random) Microscopic Examination,Hyaline Casts,Hyaline Casts,Hyaline Casts,low power field (LPF) or high power field (HPF),0-2 hyaline casts per LPF
