icd_verstion,icd_code,long_title,ICD9_Code,ICD10,ICD10_Root,ICD10_Root_title
9,7061,Other acne,706.1,L70.0,L70,Acne
10,L700,Acne vulgaris,,L70.0,L70,Acne
10,L701,Acne conglobata,,L70.1,L70,Acne
10,L702,Acne varioliformis,,L70.2,L70,Acne
10,L708,Other acne,,L70.8,L70,Acne
10,L709,"Acne, unspecified",,L70.9,L70,Acne
9,2749,"Gout, unspecified",274.9,M10.9,M10,Gout
10,M109,"Gout, unspecified",,M10.9,M10,Gout
9,27400,"Gouty arthropathy, unspecified",274.00,M10.00,M10,Gout
9,27401,Acute gouty arthropathy,274.01,M10.00,M10,Gout
9,27482,"Gouty tophi of other sites, except ear",274.82,M10.9,M10,Gout
9,27489,Gout with other specified manifestations,274.89,M10.40,M10,Gout
10,M1000,"Idiopathic gout, unspecified site",,M10.00,M10,Gout
10,M1009,"Idiopathic gout, multiple sites",,M10.09,M10,Gout
10,M1020,"Drug-induced gout, unspecified site",,M10.20,M10,Gout
10,M1029,"Drug-induced gout, multiple sites",,M10.29,M10,Gout
10,M1030,"Gout due to renal impairment, unspecified site",,M10.30,M10,Gout
10,M1040,"Other secondary gout, unspecified site",,M10.40,M10,Gout
10,M10021,"Idiopathic gout, right elbow",,M10.021,M10,Gout
10,M10022,"Idiopathic gout, left elbow",,M10.022,M10,Gout
10,M10031,"Idiopathic gout, right wrist",,M10.031,M10,Gout
10,M10032,"Idiopathic gout, left wrist",,M10.032,M10,Gout
10,M10041,"Idiopathic gout, right hand",,M10.041,M10,Gout
10,M10042,"Idiopathic gout, left hand",,M10.042,M10,Gout
10,M10049,"Idiopathic gout, unspecified hand",,M10.049,M10,Gout
10,M10061,"Idiopathic gout, right knee",,M10.061,M10,Gout
10,M10062,"Idiopathic gout, left knee",,M10.062,M10,Gout
10,M10069,"Idiopathic gout, unspecified knee",,M10.069,M10,Gout
10,M10071,"Idiopathic gout, right ankle and foot",,M10.071,M10,Gout
10,M10072,"Idiopathic gout, left ankle and foot",,M10.072,M10,Gout
10,M10079,"Idiopathic gout, unspecified ankle and foot",,M10.079,M10,Gout
10,M10211,"Drug-induced gout, right shoulder",,M10.211,M10,Gout
10,M10271,"Drug-induced gout, right ankle and foot",,M10.271,M10,Gout
10,M10272,"Drug-induced gout, left ankle and foot",,M10.272,M10,Gout
10,M10321,"Gout due to renal impairment, right elbow",,M10.321,M10,Gout
10,M10341,"Gout due to renal impairment, right hand",,M10.341,M10,Gout
10,M10462,"Other secondary gout, left knee",,M10.462,M10,Gout
10,M10471,"Other secondary gout, right ankle and foot",,M10.471,M10,Gout
10,M10472,"Other secondary gout, left ankle and foot",,M10.472,M10,Gout
10,R05,Cough,,R05,R05,Cough
9,7862,Cough,786.2,R05,R05,Cough
10,B269,Mumps without complication,,B26.9,B26,Mumps
9,49300,"Extrinsic asthma, unspecified",493.00,J45.20,J45,Asthma
9,49301,Extrinsic asthma with status asthmaticus,493.01,J45.22,J45,Asthma
9,49302,Extrinsic asthma with (acute) exacerbation,493.02,J45.21,J45,Asthma
9,49310,"Intrinsic asthma, unspecified",493.10,J45.20,J45,Asthma
9,49312,Intrinsic asthma with (acute) exacerbation,493.12,J45.21,J45,Asthma
9,49381,Exercise induced bronchospasm,493.81,J45.990,J45,Asthma
9,49382,Cough variant asthma,493.82,J45.991,J45,Asthma
9,49390,"Asthma, unspecified type, unspecified",493.90,J45.909,J45,Asthma
9,49391,"Asthma, unspecified type, with status asthmaticus",493.91,J45.902,J45,Asthma
9,49392,"Asthma, unspecified type, with (acute) exacerbation",493.92,J45.901,J45,Asthma
10,J4520,"Mild intermittent asthma, uncomplicated",,J45.20,J45,Asthma
10,J4521,Mild intermittent asthma with (acute) exacerbation,,J45.21,J45,Asthma
10,J4522,Mild intermittent asthma with status asthmaticus,,J45.22,J45,Asthma
